pp;kk;vvvv;askeleet
1;1;2018;11405
2;1;2018;5514
3;1;2018;7366
4;1;2018;8544
5;1;2018;8838
6;1;2018;9712
7;1;2018;11237
8;1;2018;5949
9;1;2018;6933
10;1;2018;8026
11;1;2018;10631
12;1;2018;5281
13;1;2018;6911
14;1;2018;4890
15;1;2018;5344
16;1;2018;10850
17;1;2018;3841
18;1;2018;10053
19;1;2018;7956
20;1;2018;7683
21;1;2018;3492
22;1;2018;7747
23;1;2018;6430
24;1;2018;3195
25;1;2018;9061
26;1;2018;6377
27;1;2018;4635
28;1;2018;6488
29;1;2018;4682
30;1;2018;8430
31;1;2018;3720
